product_title,ships_from_to,grams,quality,btc_price,cost_per_gram,cost_per_gram_pure,vendor_name,successful_transactions,rating,ships_from,ships_to,ships_to_US,ships_from_US,ships_to_NL,ships_from_NL,ships_to_FR,ships_from_FR,ships_to_GB,ships_from_GB,ships_to_CA,ships_from_CA,ships_to_DE,ships_from_DE,ships_to_AU,ships_from_AU,ships_to_EU,ships_from_EU,ships_to_ES,ships_from_ES,ships_to_N. America,ships_from_N. America,ships_to_BE,ships_from_BE,ships_to_WW,ships_from_WW,ships_to_SI,ships_from_SI,ships_to_IT,ships_from_IT,ships_to_DK,ships_from_DK,ships_to_S. America,ships_from_S. America,ships_to_CH,ships_from_CH,ships_to_BR,ships_from_BR,ships_to_CZ,ships_from_CZ,ships_to_SE,ships_from_SE,ships_to_CO,ships_from_CO,ships_to_CN,ships_from_CN,ships_to_PL,ships_from_PL,ships_to_GR,ships_from_GR,usd_price,vendor_performance
"*Cocaine KTM Stamp 94% pure * 1gr  for 40,00 EUR","NL  → WW, EU",1.0,94.0,0.0206,0.0206,0.02191489362,TheCoffeeShop,13,4.69,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"*Cocaine KTM Stamp 94% pure * 2gr  for 80,00 EUR","NL  → WW, EU",2.0,94.0,0.0412,0.0206,0.02191489362,TheCoffeeShop,13,4.69,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
*Cocaine KTM Stamp 94% pure * 3.5gr  for 140 EUR,"NL  → WW, EU",3.5,94.0,0.0721,0.0206,0.02191489362,TheCoffeeShop,13,4.69,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
*Cocaine KTM Stamp 94% pure * 5gr  for 195 EUR,"NL  → WW, EU",5.0,94.0,0.1005,0.0201,0.02138297872,TheCoffeeShop,13,4.69,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
*Cocaine KTM Stamp 94% pure * 7gr  for 271 EUR,"NL  → WW, EU",7.0,94.0,0.1396,0.01994285714,0.02121580547,TheCoffeeShop,13,4.69,NL,"WW, EU",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"+++0,5gr Kokain 85% Fishscale Uncut+++",DE  → DE,5.0,85.0,0.02577,0.005154,0.006063529412,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++10gr Kokain 85% Fishscale Uncut+++,DE  → DE,10.0,85.0,0.386,0.0386,0.04541176471,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++10gr Kokain 85% Fishscale Uncut+++ !!FE!!,DE  → DE,10.0,85.0,0.3607,0.03607,0.04243529412,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++1gr Kokain 85% Fishscale Uncut+++,DE  → DE,1.0,85.0,0.0463,0.0463,0.05447058824,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++1gr Kokain 85% Fishscale Uncut+++  !!FE!!,DE  → DE,1.0,85.0,0.0412,0.0412,0.04847058824,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++20gr Kokain 85% Fishscale Uncut+++,DE  → DE,20.0,85.0,0.721,0.03605,0.04241176471,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++20gr Kokain 85% Fishscale Uncut+++ !!FE!!,DE  → DE,20.0,85.0,0.67,0.0335,0.03941176471,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++2gr Kokain 85% Fishscale Uncut+++,DE  → DE,2.0,85.0,0.0876,0.0438,0.05152941176,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++2gr Kokain 85% Fishscale Uncut+++ !!FE!!,DE  → DE,2.0,85.0,0.0798,0.0399,0.04694117647,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
+++5gr Kokain 85% Fishscale Uncut+++,DE  → DE,5.0,85.0,0.206,0.0412,0.04847058824,Obststand,740,4.92,DE,DE,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
".25g PERUVIAN""UNCUT""COCAINE 90% PURE",US  → WW,0.25,90.0,0.02036,0.08144,0.09048888889,LuckyGambino,160,4.89,US,WW,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
.2g ★Pure Raw 94% Columbian Cocaine★,US  → US,0.2,94.0,0.00905,0.04525,0.04813829787,TheRealTrapGod,110,5.0,US,US,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
.5G PERUVIAN FISH SCALE COCAINE TESTED AT 90% PURE,"US  → US, WW",0.5,90.0,0.0226,0.0452,0.05022222222,norcoking,840,4.87,US,"US, WW",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
.5g (Sample) 92% peruvian uncut FS cocaine for the,US  → US,0.5,92.0,0.0226,0.0452,0.04913043478,jefe1392,110,4.84,US,US,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
.5g (Sample) 92% peruvian uncut FS cocaine free sh,US  → US,0.5,92.0,0.0226,0.0452,0.04913043478,jefe1392,110,4.84,US,US,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
".5g PERUVIAN""UNCUT""COCAINE 90% PURE",US  → WW,0.5,90.0,0.0294,0.0588,0.06533333333,LuckyGambino,160,4.89,US,WW,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
.5g crack cocaine Lab Tested at 88% pure,AU  → AU,0.5,88.0,0.0632,0.1264,0.1436363636,dankmedgradekush,15,4.93,AU,AU,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
.5g fishscale cocaine Lab Tested at 88% pure,AU  → AU,0.5,88.0,0.0837,0.1674,0.1902272727,dankmedgradekush,15,4.93,AU,AU,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
.5g★Pure Raw 94% Columbian Cocaine★,US  → US,0.5,94.0,0.02146,0.04292,0.04565957447,TheRealTrapGod,110,5.0,US,US,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"0,2 g kokain, cocain 0,2 g, over 80%","DE  → EU, DE",2.0,80.0,0.01494,0.00747,0.0093375,homegrow1919,80,4.96,DE,"EU, DE",False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"0,25 G ★★ COCAINE PURE UNCUT 90% ύ",DE  → WW,25.0,90.0,0.01546,0.0006184,0.0006871111111,dutchcandyshop,40,4.66,DE,WW,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"0,2g Colombian Cocaine 90% ♛ Premium Quality","NL  → EU, WW",2.0,90.0,0.00724,0.00362,0.004022222222,Deepstatus,32,4.58,NL,"EU, WW",False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"0,2g SAMPLE Cocaine 90%+ Pure Flakes Uncut Colombi",NL  → EU,2.0,90.0,0.00773,0.003865,0.004294444444,supercoop,720,4.96,NL,EU,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"0,3G FIRST CLASS COCAINE/KOKAIN from Colombia 92%",DE  → WW,3.0,92.0,0.0154,0.005133333333,0.005579710145,WhiteDr3ams,660,4.94,DE,WW,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
"0,5 G COCAINE 92%+","DE  → EU, WW",5.0,92.0,0.0206,0.00412,0.00447826087,FD-TOPSERVICE,80,4.88,DE,"EU, WW",False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Other,Other
